['brook', 3, 1, ['tarse', 'dykon', 'brook'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'd', -1], [1, 'y', -1], [2, 'k', 0], [3, 'o', 1], [4, 'n', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'o', 1], [3, 'o', 1], [4, 'k', 1]]]]
['broom', 3, 1, ['tarse', 'dykon', 'broom'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'd', -1], [1, 'y', -1], [2, 'k', -1], [3, 'o', 1], [4, 'n', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'o', 1], [3, 'o', 1], [4, 'm', 1]]]]
['broth', 3, 1, ['tarse', 'rossa', 'broth'], [[[0, 't', 0], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'r', 0], [1, 'o', 0], [2, 's', -1], [3, 's', -1], [4, 'a', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'o', 1], [3, 't', 1], [4, 'h', 1]]]]
['brown', 3, 1, ['tarse', 'dykon', 'brown'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'd', -1], [1, 'y', -1], [2, 'k', -1], [3, 'o', 0], [4, 'n', 1]], [[0, 'b', 1], [1, 'r', 1], [2, 'o', 1], [3, 'w', 1], [4, 'n', 1]]]]
['brunt', 3, 1, ['tarse', 'rossa', 'brunt'], [[[0, 't', 0], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'r', 0], [1, 'o', -1], [2, 's', -1], [3, 's', -1], [4, 'a', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'u', 1], [3, 'n', 1], [4, 't', 1]]]]
['brush', 3, 1, ['tarse', 'wizzo', 'brush'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', 1], [4, 'e', -1]], [[0, 'w', -1], [1, 'i', -1], [2, 'z', -1], [3, 'z', -1], [4, 'o', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'u', 1], [3, 's', 1], [4, 'h', 1]]]]
['brute', 2, 1, ['tarse', 'brute'], [[[0, 't', 0], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', 1]], [[0, 'b', 1], [1, 'r', 1], [2, 'u', 1], [3, 't', 1], [4, 'e', 1]]]]
['buddy', 3, 1, ['tarse', 'squad', 'buddy'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', -1]], [[0, 's', -1], [1, 'q', -1], [2, 'u', 0], [3, 'a', -1], [4, 'd', 0]], [[0, 'b', 1], [1, 'u', 1], [2, 'd', 1], [3, 'd', 1], [4, 'y', 1]]]]
['budge', 3, 1, ['tarse', 'polio', 'budge'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', 1]], [[0, 'p', -1], [1, 'o', -1], [2, 'l', -1], [3, 'i', -1], [4, 'o', -1]], [[0, 'b', 1], [1, 'u', 1], [2, 'd', 1], [3, 'g', 1], [4, 'e', 1]]]]
['buggy', 3, 1, ['tarse', 'squad', 'buggy'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', -1]], [[0, 's', -1], [1, 'q', -1], [2, 'u', 0], [3, 'a', -1], [4, 'd', -1]], [[0, 'b', 1], [1, 'u', 1], [2, 'g', 1], [3, 'g', 1], [4, 'y', 1]]]]
['bugle', 3, 1, ['tarse', 'polio', 'bugle'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', 1]], [[0, 'p', -1], [1, 'o', -1], [2, 'l', 0], [3, 'i', -1], [4, 'o', -1]], [[0, 'b', 1], [1, 'u', 1], [2, 'g', 1], [3, 'l', 1], [4, 'e', 1]]]]
['build', 3, 1, ['tarse', 'squad', 'build'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', -1]], [[0, 's', -1], [1, 'q', -1], [2, 'u', 0], [3, 'a', -1], [4, 'd', 1]], [[0, 'b', 1], [1, 'u', 1], [2, 'i', 1], [3, 'l', 1], [4, 'd', 1]]]]
['built', 3, 1, ['tarse', 'rossa', 'built'], [[[0, 't', 0], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', -1]], [[0, 'r', -1], [1, 'o', -1], [2, 's', -1], [3, 's', -1], [4, 'a', -1]], [[0, 'b', 1], [1, 'u', 1], [2, 'i', 1], [3, 'l', 1], [4, 't', 1]]]]
['bulge', 3, 1, ['tarse', 'polio', 'bulge'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', 1]], [[0, 'p', -1], [1, 'o', -1], [2, 'l', 1], [3, 'i', -1], [4, 'o', -1]], [[0, 'b', 1], [1, 'u', 1], [2, 'l', 1], [3, 'g', 1], [4, 'e', 1]]]]
